Fecha,Diesel_conjunto
2017-02-01,1052536.0100000007
2017-03-01,1216423.4200000004
2017-04-01,1032813.2899999992
2017-05-01,1034806.2400000003
2017-06-01,897511.8899999994
2017-07-01,938887.6400000004
2017-08-01,950188.14
2017-09-01,894363.5799999998
2017-10-01,935986.1700000006
2017-11-01,1038598.2599999997
2017-12-01,1117711.45
2018-01-01,1105628.8899999992
2018-02-01,1072071.669999999
2018-03-01,1194136.1799999995
2018-04-01,1108452.970000001
2018-05-01,1009750.1500000004
2018-06-01,930064.9999999993
2018-07-01,950343.5399999997
2018-08-01,991818.1499999993
2018-09-01,882303.5299999992
2018-10-01,969095.0400000002
2018-11-01,1061941.9100000001
2018-12-01,1106130.2500000007
2019-01-01,1152949.5199999998
2019-02-01,1103358.4900000005
2019-03-01,1228025.3400000003
2019-04-01,1160125.1100000006
2019-05-01,1134666.1800000002
2019-06-01,1012030.4700000008
2019-07-01,1030649.6800000007
2019-08-01,1070198.0999999996
2019-09-01,973358.4400000001
2019-10-01,1043629.5299999992
2019-11-01,1122734.5500000007
2019-12-01,1175724.8300000008
2020-01-01,1184419.189999999
2020-02-01,1233250.2399999988
2020-03-01,1100813.7700000003
2020-04-01,867592.2799999997
2020-05-01,828743.9500000004
2020-06-01,782327.9900000001
2020-07-01,870354.8900000004
2020-08-01,885200.7199999994
2020-09-01,959013.35
2020-10-01,1064005.3
2020-11-01,1072873.4600000007
2020-12-01,1276290.8499999996
