Fecha,Gasolina regular
2009-09-01,161783.67999999993
2009-10-01,375067.22999999975
2009-11-01,201213.1
2009-12-01,291525.48
2010-01-01,173918.35000000015
2010-02-01,336005.7199999998
2010-03-01,157798.77000000005
2010-04-01,433108.23
2010-05-01,279926.94999999984
2010-06-01,281834.46000000025
2010-07-01,241994.23999999985
2010-08-01,282509.23999999993
2010-09-01,208796.01999999984
2010-10-01,392100.62
2010-11-01,139547.7300000001
2010-12-01,430857.9499999997
2011-01-01,253700.82
2011-02-01,343582.85000000015
2011-03-01,291087.15999999986
2011-04-01,326003.70999999996
2011-05-01,326566.6099999999
2011-06-01,230990.13000000012
2011-07-01,188581.4
2011-08-01,201844.48999999982
2011-09-01,260669.22
2011-10-01,239711.90999999986
2011-11-01,237803.4800000002
2011-12-01,367820.5400000001
2012-01-01,318283.43999999994
2012-02-01,253583.95999999996
2012-03-01,255492.1599999999
2012-04-01,189948.79000000012
2012-05-01,241786.28999999992
2012-06-01,320566.6899999997
2012-07-01,142232.47000000003
2012-08-01,263677.23
2012-09-01,201347.56000000008
2012-10-01,374301.5099999998
2012-11-01,197398.8
2012-12-01,287980.58
2013-01-01,396416.8400000004
2013-02-01,235502.57999999993
2013-03-01,439386.6199999997
2013-04-01,274680.6499999998
2013-05-01,281823.1999999998
2013-06-01,293808.60000000015
2013-07-01,259025.82999999996
2013-08-01,221433.1999999999
2013-09-01,300794.9900000001
2013-10-01,281168.84999999974
2013-11-01,390941.14999999973
2013-12-01,210096.77999999997
2014-01-01,487880.7900000004
2014-02-01,312423.8600000002
2014-03-01,472437.6299999998
2014-04-01,207048.99999999983
2014-05-01,417767.2400000003
2014-06-01,247114.98999999987
2014-07-01,454196.13
2014-08-01,305285.5299999998
2014-09-01,378741.55999999976
2014-10-01,256340.48999999993
2014-11-01,372809.92999999993
2014-12-01,491072.1099999998
2015-01-01,371420.59
2015-02-01,548714.5299999997
2015-03-01,453536.19000000035
2015-04-01,537064.5899999996
2015-05-01,534049.2800000001
2015-06-01,394824.3300000001
2015-07-01,519374.1499999996
2015-08-01,328552.07000000024
2015-09-01,485906.4899999996
2015-10-01,432666.75000000006
2015-11-01,574547.7599999998
2015-12-01,319329.70999999973
2016-01-01,546876.5400000003
2016-02-01,424074.81
2016-03-01,508542.1799999996
2016-04-01,527083.6400000002
2016-05-01,528347.8100000004
2016-06-01,397477.40000000014
2016-07-01,526652.7299999999
2016-08-01,512202.5700000001
2016-09-01,567786.5699999996
2016-10-01,455850.75999999966
2016-11-01,476784.16000000027
2016-12-01,473659.58999999997
2017-01-01,527564.9000000003
2017-02-01,469140.0600000002
2017-03-01,608144.9800000004
2017-04-01,681303.11
2017-05-01,386088.1799999999
2017-06-01,519389.6600000001
2017-07-01,433026.0799999996
2017-08-01,592103.3099999998
2017-09-01,316435.21999999986
2017-10-01,574073.6099999996
2017-11-01,434963.36000000034
2017-12-01,679441.4700000002
2018-01-01,571858.0599999997
2018-02-01,509366.10000000003
2018-03-01,563899.0600000002
2018-04-01,510830.0000000001
2018-05-01,580825.1099999998
2018-06-01,463620.6099999996
2018-07-01,543333.77
2018-08-01,663834.0400000002
2018-09-01,454442.87
2018-10-01,726044.3499999999
2018-11-01,534084.4899999999
2018-12-01,535639.9699999996
2019-01-01,702923.3700000005
2019-02-01,469437.28000000044
2019-03-01,678145.3799999995
2019-04-01,867761.3400000003
2019-05-01,596798.2199999995
2019-06-01,712731.8000000002
2019-07-01,531577.6400000001
2019-08-01,896841.3100000005
2019-09-01,518043.68000000017
2019-10-01,712672.38
2019-11-01,791039.02
2019-12-01,731012.2399999998
2020-01-01,629414.9000000001
2020-02-01,741509.0700000004
2020-03-01,735491.2899999998
2020-04-01,329134.1799999999
2020-05-01,415805.8199999997
2020-06-01,683322.7199999996
2020-07-01,451717.74999999977
2020-08-01,547899.5500000002
2020-09-01,591799.8299999995
2020-10-01,861840.5400000004
2020-11-01,696600.1399999994
2020-12-01,780347.2800000007
