Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total importación
sep-13,"394,985.89","300,794.99","373,303.31","803,626.98","2,300,992.12"
oct-13,"415,869.34","281,168.85","372,946.33","980,327.98","2,360,174.87"
nov-13,"425,669.24","390,941.15","496,029.72","903,218.47","2,594,018.83"
dic-13,"452,414.08","210,096.78","358,799.64","791,698.89","2,062,374.95"
ene-14,"371,888.73","487,880.79","457,365.46","1,595,698.56","3,292,444.39"
feb-14,"336,845.19","312,423.86","455,726.06","688,703.18","1,996,323.39"
mar-14,"358,755.83","472,437.63","582,572.93","1,147,182.50","3,348,387.65"
abr-14,"466,766.95","207,049.00","270,302.22","845,051.33","2,205,449.41"
may-14,"554,784.32","417,767.24","563,319.79","1,008,148.07","3,299,278.85"
jun-14,"359,135.62","247,114.99","404,603.55","694,920.68","2,065,597.19"
jul-14,"417,570.34","454,196.13","558,403.41","845,875.86","2,513,071.83"
ago-14,"416,068.30","305,285.53","398,563.48","760,353.37","2,681,043.91"
sep-14,"408,998.93","378,741.56","547,486.22","598,145.89","2,317,813.24"
oct-14,"314,868.89","256,340.49","379,572.07","762,763.24","2,134,055.27"
nov-14,"487,343.72","372,809.93","533,524.40","1,033,873.16","2,754,121.68"
dic-14,"380,185.96","491,072.11","583,081.57","1,004,032.65","2,903,049.86"
ene-15,"523,352.31","371,420.59","471,973.30","1,324,421.96","3,104,601.52"
feb-15,"421,268.22","548,714.53","664,315.85","955,286.02","2,926,012.44"
mar-15,"497,168.60","453,536.19","622,883.10","1,164,885.97","3,283,015.37"
abr-15,"519,603.84","537,064.59","599,558.55","1,130,870.79","3,215,244.26"
may-15,"415,890.34","534,049.28","618,319.21","954,782.75","3,154,183.76"
jun-15,"526,358.48","394,824.33","525,280.85","862,071.77","2,918,609.19"
jul-15,"411,971.43","519,374.15","616,269.01","1,149,630.43","3,059,052.87"
ago-15,"561,563.81","328,552.07","467,373.13","919,285.90","2,913,063.82"
sep-15,"480,268.89","485,906.49","576,250.29","754,068.77","2,957,721.64"
oct-15,"423,239.36","432,666.75","533,620.64","1,163,425.95","3,099,355.08"
nov-15,"637,316.48","574,547.76","724,273.97","904,700.42","3,299,849.79"
dic-15,"500,684.29","319,329.71","498,798.79","1,113,876.28","2,906,814.10"
ene-16,"748,970.64","546,876.54","729,211.43","987,507.78","3,501,343.52"
feb-16,"287,337.74","424,074.81","405,559.45","1,167,227.96","2,796,986.02"
mar-16,"504,451.07","508,542.18","771,024.11","1,498,844.95","3,880,554.92"
abr-16,"587,482.69","527,083.64","502,728.88","1,137,213.10","3,265,468.87"
